code,name,section
A016880,웅진,KOSPI
A017040,광명전기,KOSPI
A017180,명문제약,KOSPI
A017370,우신시스템,KOSPI
A017390,서울가스,KOSPI
A017550,수산중공업,KOSPI
A017670,SK텔레콤,KOSPI
A017800,현대엘리베이,KOSPI
A017810,풀무원,KOSPI
A017900,광전자,KOSPI
A017940,E1,KOSPI
A017960,한국카본,KOSPI
A018250,애경산업,KOSPI
A018260,삼성에스디에스,KOSPI
A018470,조일알미늄,KOSPI
A018500,동원금속,KOSPI
A018670,SK가스,KOSPI
A018880,한온시스템,KOSPI
A019170,신풍제약,KOSPI
A019175,신풍제약우,KOSPI
A019180,티에이치엔,KOSPI
A019440,세아특수강,KOSPI
A019490,하이트론,KOSPI
A019680,대교,KOSPI
A019685,대교우B,KOSPI
A020000,한섬,KOSPI
A020120,키다리스튜디오,KOSPI
A020150,일진머티리얼즈,KOSPI
A020560,아시아나항공,KOSPI
A020760,일진디스플,KOSPI
A021050,서원,KOSPI
A021240,코웨이,KOSPI
A021820,세원정공,KOSPI
A023000,삼원강재,KOSPI
A023150,MH에탄올,KOSPI
A023350,한국종합기술,KOSPI
A023450,동남합성,KOSPI
A023530,롯데쇼핑,KOSPI
A023590,다우기술,KOSPI
A023800,인지컨트롤스,KOSPI
A023810,인팩,KOSPI
A023960,에쓰씨엔지니어링,KOSPI
A024070,WISCOM,KOSPI
A024090,디씨엠,KOSPI
A024110,기업은행,KOSPI
A024720,한국콜마홀딩스,KOSPI
A024890,대원화성,KOSPI
A024900,덕양산업,KOSPI
A025000,KPX케미칼,KOSPI
A025530,SJM홀딩스,KOSPI
A025540,한국단자,KOSPI
A025560,미래산업,KOSPI
A025620,제이준코스메틱,KOSPI
A025750,한솔홈데코,KOSPI
A025820,이구산업,KOSPI
A025860,남해화학,KOSPI
A025890,한국주강,KOSPI
A026890,디피씨,KOSPI
A026940,부국철강,KOSPI
A026960,동서,KOSPI
A027410,BGF,KOSPI
A027740,마니커,KOSPI
A027970,세하,KOSPI
A028050,삼성엔지니어링,KOSPI
A028100,동아지질,KOSPI
A028260,삼성물산,KOSPI
A02826K,삼성물산우B,KOSPI
A028670,팬오션,KOSPI
A029460,케이씨,KOSPI
A029530,신도리코,KOSPI
A029780,삼성카드,KOSPI
A030000,제일기획,KOSPI
A030200,KT,KOSPI
A030210,KTB투자증권,KOSPI
A030610,교보증권,KOSPI
A030720,동원수산,KOSPI
A030790,비케이탑스,KOSPI
A031430,신세계인터내셔날,KOSPI
A031440,신세계푸드,KOSPI
A031820,콤텍시스템,KOSPI
A032350,롯데관광개발,KOSPI
A032560,황금에스티,KOSPI
A032640,LG유플러스,KOSPI
A032830,삼성생명,KOSPI
A033180,KH 필룩스,KOSPI
A033240,자화전자,KOSPI
A033250,체시스,KOSPI
A033270,유나이티드제약,KOSPI
A033530,세종공업,KOSPI
A033780,KT&G,KOSPI
A033920,무학,KOSPI
A034020,두산중공업,KOSPI
A034120,SBS,KOSPI
A034220,LG디스플레이,KOSPI
A034300,신세계건설,KOSPI
A034310,NICE,KOSPI
A034590,인천도시가스,KOSPI
A034730,SK,KOSPI
A03473K,SK우,KOSPI
A034830,한국토지신탁,KOSPI
A035000,지투알,KOSPI
A035150,백산,KOSPI
A035250,강원랜드,KOSPI
A035420,NAVER,KOSPI
A035510,신세계 I&C,KOSPI
A035720,카카오,KOSPI
A036420,제이콘텐트리,KOSPI
A036460,한국가스공사,KOSPI
A036530,SNT홀딩스,KOSPI
A036570,엔씨소프트,KOSPI
A036580,팜스코,KOSPI
A037270,YG PLUS,KOSPI
A037560,LG헬로비전,KOSPI
A037710,광주신세계,KOSPI
A039130,하나투어,KOSPI
A039490,키움증권,KOSPI
A039570,HDC아이콘트롤스,KOSPI
A041650,상신브레이크,KOSPI
A042660,대우조선해양,KOSPI
A042670,두산인프라코어,KOSPI
A042700,한미반도체,KOSPI
A044380,주연테크,KOSPI
A044450,KSS해운,KOSPI
A044820,코스맥스비티아이,KOSPI
A047040,대우건설,KOSPI
A047050,포스코인터내셔널,KOSPI
A047400,유니온머티리얼,KOSPI
A047810,한국항공우주,KOSPI
A049770,동원F&B,KOSPI
A049800,우진플라임,KOSPI
A051600,한전KPS,KOSPI
A051630,진양화학,KOSPI
A051900,LG생활건강,KOSPI
A051905,LG생활건강우,KOSPI
A051910,LG화학,KOSPI
A051915,LG화학우,KOSPI
A052690,한전기술,KOSPI
A053210,스카이라이프,KOSPI
A053690,한미글로벌,KOSPI
A055490,테이팩스,KOSPI
A055550,신한지주,KOSPI
A057050,현대홈쇼핑,KOSPI
A058430,포스코강판,KOSPI
A058650,세아홀딩스,KOSPI
A058730,다스코,KOSPI
A058850,KTcs,KOSPI
A058860,KTis,KOSPI
A060980,한라홀딩스,KOSPI
A063160,종근당바이오,KOSPI
A064350,현대로템,KOSPI
A064960,SNT모티브,KOSPI
A066570,LG전자,KOSPI
A066575,LG전자우,KOSPI
A067830,세이브존I&C,KOSPI
A068270,셀트리온,KOSPI
A068290,삼성출판사,KOSPI
A068400,SK렌터카,KOSPI
A069260,휴켐스,KOSPI
A069460,대호에이엘,KOSPI
A069500,KODEX 200,ETF
A069620,대웅제약,KOSPI
A069640,한세엠케이,KOSPI
A069660,KOSEF 200,ETF
A069730,DSR제강,KOSPI
A069960,현대백화점,KOSPI
A070960,용평리조트,KOSPI
A071050,한국금융지주,KOSPI
A071055,한국금융지주우,KOSPI
A071090,하이스틸,KOSPI
A071320,지역난방공사,KOSPI
A071840,롯데하이마트,KOSPI
A071950,코아스,KOSPI
A071970,STX중공업,KOSPI
A072130,유엔젤,KOSPI
A072710,농심홀딩스,KOSPI
A073240,금호타이어,KOSPI
A074610,이엔플러스,KOSPI
A075180,새론오토모티브,KOSPI
A075580,세진중공업,KOSPI
A077500,유니퀘스트,KOSPI
A077970,STX엔진,KOSPI
A078000,텔코웨어,KOSPI
A078520,에이블씨엔씨,KOSPI
A078930,GS,KOSPI
A078935,GS우,KOSPI
A079160,CJ CGV,KOSPI
A079430,현대리바트,KOSPI
A079550,LIG넥스원,KOSPI
A079980,휴비스,KOSPI
A081000,일진다이아,KOSPI
A081660,휠라홀딩스,KOSPI
A082640,동양생명,KOSPI
A082740,HSD엔진,KOSPI
A083420,그린케미칼,KOSPI
A084010,대한제강,KOSPI
A084670,동양고속,KOSPI
A084680,이월드,KOSPI
A084690,대상홀딩스,KOSPI
A084695,대상홀딩스우,KOSPI
A084870,TBH글로벌,KOSPI
A085310,엔케이,KOSPI
A085620,미래에셋생명,KOSPI
A086280,현대글로비스,KOSPI
A086790,하나금융지주,KOSPI
A088260,이리츠코크렙,KOSPI
A088350,한화생명,KOSPI
A088790,진도,KOSPI
A088980,맥쿼리인프라,KOSPI
A089470,HDC현대EP,KOSPI
A089590,제주항공,KOSPI
A089860,롯데렌탈,KOSPI
A090080,평화산업,KOSPI
A090350,노루페인트,KOSPI
A090355,노루페인트우,KOSPI
A090370,메타랩스,KOSPI
A090430,아모레퍼시픽,KOSPI
A090435,아모레퍼시픽우,KOSPI
A091090,세원이앤씨,KOSPI
A091160,KODEX 반도체,ETF
A091170,KODEX 은행,ETF
A091180,KODEX 자동차,ETF
A091220,TIGER 은행,ETF
A091230,TIGER 반도체,ETF
A091810,티웨이항공,KOSPI
A092200,디아이씨,KOSPI
A092220,KEC,KOSPI
A092230,KPX홀딩스,KOSPI
A092440,기신정기,KOSPI
A092780,동양피스톤,KOSPI
A093050,LF,KOSPI
A093230,이아이디,KOSPI
A093240,형지엘리트,KOSPI
A093370,후성,KOSPI
A094280,효성ITX,KOSPI
A094800,맵스리얼티1,KOSPI
A095570,AJ네트웍스,KOSPI
A095720,웅진씽크빅,KOSPI
A096300,베트남개발1,KOSPI
A096760,JW홀딩스,KOSPI
A096770,SK이노베이션,KOSPI
A096775,SK이노베이션우,KOSPI
A097230,한진중공업,KOSPI
A097520,엠씨넥스,KOSPI
A097950,CJ제일제당,KOSPI
A097955,CJ제일제당 우,KOSPI
A098560,TIGER 방송통신,ETF
A099140,KODEX 차이나H,ETF
A100220,비상교육,KOSPI
A100250,진양홀딩스,KOSPI
A100840,SNT에너지,KOSPI
A100910,KOSEF KRX100,ETF
A101060,SBS미디어홀딩스,KOSPI
A101140,인바이오젠,KOSPI
A101280,KODEX 일본TOPIX100,ETF
A101530,해태제과식품,KOSPI
A102110,TIGER 200,ETF
A102260,동성케미컬,KOSPI
A102280,쌍방울,KOSPI
A102460,이연제약,KOSPI
A102780,KODEX 삼성그룹,ETF
A102960,KODEX 기계장비,ETF
A102970,KODEX 증권,ETF
A103140,풍산,KOSPI
A103590,일진전기,KOSPI
A104520,KOSEF 블루칩,ETF
A104530,KOSEF 고배당,ETF
A104700,한국철강,KOSPI
A105010,TIGER 라틴35,ETF
A105190,KINDEX 200,ETF
A105560,KB금융,KOSPI
A105630,한세실업,KOSPI
A105780,KBSTAR 5대그룹주,ETF
A105840,우진,KOSPI
A107590,미원홀딩스,KOSPI
A108450,KINDEX 삼성그룹섹터가중,ETF
A108590,TREX 200,ETF
A108670,LX하우시스,KOSPI
A108675,LX하우시스우,KOSPI
A109070,컨버즈,KOSPI
A111110,호전실업,KOSPI
A111770,영원무역,KOSPI
A112610,씨에스윈드,KOSPI
A114090,GKL,KOSPI
A114100,KBSTAR 국고채3년,ETF
A114260,KODEX 국고채3년,ETF
A114460,KINDEX 국고채3년,ETF
A114470,KOSEF 국고채3년,ETF
A114800,KODEX 인버스,ETF
A114820,TIGER 국채3년,ETF
A115390,락앤락,KOSPI
A117460,KODEX 에너지화학,ETF
A117580,대성에너지,KOSPI
A117680,KODEX 철강,ETF
A117690,TIGER 차이나항셍25,ETF
A117700,KODEX 건설,ETF
A118000,우리들휴브레인,KOSPI
A119650,KC코트렐,KOSPI
A120030,조선선재,KOSPI
A120110,코오롱인더,KOSPI
A120115,코오롱인더우,KOSPI
A122090,ARIRANG 코스피50,ETF
A122260,KOSEF 통안채1년,ETF
A122630,KODEX 레버리지,ETF
A122900,아이마켓코리아,KOSPI
A123310,TIGER 인버스,ETF
A123320,TIGER 레버리지,ETF
A123690,한국화장품,KOSPI
A123700,SJM,KOSPI
A123890,한국자산신탁,KOSPI
A126560,현대퓨처넷,KOSPI
A128820,대성산업,KOSPI
A128940,한미약품,KOSPI
A129260,인터지스,KOSPI
A130660,한전산업,KOSPI
A130680,TIGER 원유선물Enhanced(H),ETF
A130730,KOSEF 단기자금,ETF
A131890,KINDEX 삼성그룹동일가중,ETF
A132030,KODEX 골드선물(H),ETF
A133690,TIGER 미국나스닥100,ETF
A133820,화인베스틸,KOSPI
A134380,미원화학,KOSPI
A134790,시디즈,KOSPI
A136340,KBSTAR 중기우량회사채,ETF
A136490,선진,KOSPI
A137310,에스디바이오센서,KOSPI
A137610,TIGER 농산물선물Enhanced(H),ETF
A137930,마이다스 200커버드콜5%OTM,ETF
A138040,메리츠금융지주,KOSPI
A138230,KOSEF 미국달러선물,ETF
A138250,엔에스쇼핑,KOSPI
A138490,코오롱플라스틱,KOSPI
A138520,TIGER 삼성그룹펀더멘털,ETF
